Marks 			 Rank

720			 1
710 – 719		 2 – 20
700 – 709		 21 – 100
690 – 699		 101 – 220
680 – 689 		 221 – 400
670 – 679 		 401 – 800
660 – 669		 801 – 1,400
650 – 659		 1,401 – 2,500
640 – 649		 2,501 – 3,500
630 – 63 		                 3,501 – 5,000
620 – 629		 5,001 – 6,500
610 – 619		 6,501 – 8,500
600 – 609		 8,501 – 10,500
590 – 599		 10,501 – 12,800
580 – 589 		 12,801 – 15,000
570 – 579 		 15,001 – 18,000
560 – 569		 18,001 – 21,000
550 – 559		 21,001 – 24,000
540 – 549		 24,001 – 28,000
530 – 539		 28,001 – 32,000
520 – 529		 32,001 – 36,000
510 – 519		 36,001 – 41,000
500 – 509		 41,001 – 46,000
490 – 499		 46,001 – 52,000
480 – 489		 52,001 – 58,000
470 – 479		 58,001 – 65,000
460 – 469		 65,001 – 72,000
450 – 459		 72,001 – 80,000
400 – 449		 80,001 – 1,30,000
350 – 399		 1,30,001 – 1,80,000
300 – 349		 1,80,001 – 2,60,000
250 – 299		 2,60,001 – 3,50,000
200 – 249		 3,50,001 – 4,50,000
150 – 199		 4,50,001 – 5,50,000
100 – 149		 5,50,001 – 7,00,000
50 – 99		 	 7,00,001 – 9,00,000
0 – 49		 	 9,00,001 – 13,74,000+
